"""date"",""target"",""ret1y"",""ret3y"",""sd1y"",""sd3y"",""sp500"",""unrate"",""tx_cpi"",""export"""
1962-07-01,0,7.95640079502214,5.06360738962437,0.764677409727483,2.65393100885759,62.1465078253968,5.53333333333333,-21.0596026490019,29.593
1962-10-01,0,7.44957953127131,5.03361324095005,1.50133335583862,2.64670117935017,57.8484128095238,5.56666666666667,97.5824175823788,28.683
1963-01-01,1,6.3662505434355,4.89390743489693,1.58096352219463,2.61595904856973,59.4449206031746,5.53333333333333,-50.6578947368468,29.161
1963-04-01,1,5.57293744858006,5.00799199679225,1.19034271247081,2.58047550533469,65.5327416935484,5.76666666666667,-25.9036144578252,31.448
1963-07-01,0,5.20514066593289,5.16611699753775,0.526629012954468,2.56569563757369,69.669365015873,5.73333333333333,23.6353711790318,31.215
1963-10-01,0,5.54251693768841,5.55027045428411,0.978131213683462,2.42126312770785,70.908593640625,5.5,97.6112920738426,32.474
1964-01-01,0,6.314753553422,6.15931167544236,1.23172412212666,1.87583366871669,73.2959679193548,5.56666666666667,97.1891891892081,34.192
1964-04-01,0,7.03319704655114,6.58390316661761,0.927978084683211,1.56613009041895,77.5346776451613,5.46666666666667,-67.1700827040611,34.03
1964-07-01,0,7.42541035344065,6.86231727146523,0.450234075277488,1.3563201771359,80.290624609375,5.2,-21.0344827586199,35.375
1964-10-01,0,7.38292520419939,6.79167389105304,0.529491175059395,1.34314943413111,82.88234365625,5,-25.8851931330509,36.48
1965-01-01,0,7.23694112344895,6.63931507343549,0.473877346774936,1.16274340121912,84.7161910952381,4.96666666666667,-1.06951871658713,32.969
1965-04-01,0,7.19253528580577,6.59955659364566,0.411713189155201,1.11669801850227,86.575806016129,4.9,592.529348986049,38.367
1965-07-01,0,7.41619156873971,6.68224752937108,0.695632946280033,1.20540827468274,87.3788887777778,4.66666666666667,-1.69491525423715,37.551
1965-10-01,0,8.43004560033411,7.11849591407397,1.57488035423734,1.60247620233328,86.91703109375,4.36666666666667,31.0829817158998,39.698
1966-01-01,0,9.35444079106375,7.63537848931157,1.66456043649339,1.73124515125334,91.7519047777778,4.1,243.750000000029,39.356
1966-04-01,0,10.017364304193,8.08103221218329,1.18782588392119,1.64791365040566,91.5047618412698,3.86666666666667,53.5379115149668,40.872
1966-07-01,0,10.293610279382,8.37840406718744,0.659900461451227,1.51880672646468,88.0579365396825,3.83333333333333,118.969072164952,40.857
1966-10-01,0,9.61147178532658,8.47481419662003,1.25581929120991,1.44467481311691,81.34140596875,3.76666666666667,93.6670071501581,42.594
1967-01-01,0,8.41848988620486,8.33662393357252,1.81700967583623,1.59254964060562,79.7979031612903,3.7,-86.2208713272555,43.886
1967-04-01,0,7.22441248296185,8.14477069098686,1.78793215130279,1.79324722545488,87.1067741290323,3.83333333333333,-29.4074346705931,43.239
1967-07-01,0,6.269166946882,7.99298959833456,1.16017834327417,1.93495658594009,91.683125359375,3.83333333333333,-2.61044176706832,42.845
1967-10-01,0,5.72316337957744,7.92156025507938,0.27503943606088,2.00427178649755,94.4336505714286,3.8,9.58955223880498,43.896
1968-01-01,0,6.13281785321809,7.96858284349557,1.06973276965208,1.99139166075226,94.5688707258064,3.9,1068.04733727819,45.452
1968-04-01,0,7.27988898560969,8.1738885909215,2.0900663943191,2.07418328373394,91.7177417419355,3.73333333333333,20.3703703703691,47.165
1968-07-01,0,8.36227463996855,8.3083506220775,2.02448384532262,2.13306835787055,97.9140679152542,3.56666666666667,49.5495495495499,49.891
1968-10-01,0,9.37406588481146,8.23623368323849,1.10324099967985,2.05858436996424,99.8817304423077,3.53333333333333,27.6190476190479,49.116
1969-01-01,0,9.75054506000197,8.10061759980831,0.359298324483355,1.91897226205123,105.206792471698,3.4,3.4369114877568,44.042
1969-04-01,0,9.23500629232581,7.91310258696578,0.879970074524634,1.79668913811713,100.954999983333,3.4,71.7953488372138,53.775
1969-07-01,0,8.8425031394925,7.82464824211435,0.838177808923869,1.74302879507476,101.667301460317,3.43333333333333,8.32570905763845,53.596
1969-10-01,0,8.19736440760039,7.76486455732976,0.824091123417293,1.75022740475029,94.4671426031746,3.56666666666667,26.23985572588,56.275
1970-01-01,0,7.34576926346605,7.74304405889537,1.10975625700796,1.7745117425044,94.209062484375,3.56666666666667,8.92307692307734,57.031
1970-04-01,0,6.79351648664926,7.76947058819492,1.22445723070167,1.73953878264536,88.7673772622951,4.16666666666667,-0.462962962963187,60.411
1970-07-01,0,6.07471005031055,7.75982927659053,0.797200611809545,1.75314825252441,79.2473842769231,4.76666666666667,-23.3768334771344,60.519
1970-10-01,1,5.47906315009876,7.6834978141702,0.445626672550762,1.86379368505538,78.627187796875,5.16666666666667,-5.3754266211616,60.873
1971-01-01,0,6.01945544041697,7.70525658796166,1.3657788384381,1.86585258435529,86.29875028125,5.83333333333333,-43.1818181818186,63.221
1971-04-01,0,6.65573920326976,7.56142066074828,1.75617193268772,1.72986196123162,96.8675806129032,5.93333333333333,-34.8370927318295,62.894
1971-07-01,0,7.40286709775357,7.44002676251888,1.70557037769894,1.59746292367098,101.421428396825,5.9,-4.21487603305857,65.717
1971-10-01,0,8.52299602479079,7.39980786082998,0.57808740455504,1.53691889056429,98.5171875,6.03333333333333,-64.0637775960751,60.019
1972-01-01,0,8.62852560298625,7.33125010228976,0.477289921251214,1.4644238217231,96.45718753125,5.93333333333333,-3.33604556549834,68.639
1972-04-01,0,8.92686232213955,7.45870600401952,0.587461278070298,1.58849561097269,105.449523285714,5.76666666666667,-25.624456319127,67.152
